457 2 3 
458 3 2 
459 2 3 
460 3 2 
461 2 3 
462 3 2 
463 2 3 
464 3 2 
465 2 3 
466 3 2 
467 2 3 
468 3 2 
469 2 3 
470 3 2 
471 2 2 
472 2 3 
473 3 2 
474 2 3 
475 3 2 
476 2 3 
477 3 2 
478 2 3 
479 3 2 
480 2 3 
481 3 2 
482 2 3 
483 3 2 
484 2 3 
485 3 2 
486 2 3 
487 3 2 
488 2 2 
489 2 2 
490 2 2 
491 2 2 
492 2 1 
493 1 1 
494 1 1 
495 1 1 
496 1 1 
497 1 1 
498 1 1 
499 1 1 
500 1 1 
501 1 1 
502 1 2 
503 2 0 
504 0 2 
505 2 1 
506 1 3 
507 3 1 
508 1 2 
509 2 1 
510 1 3 
511 3 1 
512 1 3 
513 3 1 
514 1 2 
515 2 2 
516 2 2 
517 2 2 
518 2 2 
519 2 2 
520 2 3 
521 3 2 
522 2 3 
523 3 1 
524 1 3 
525 3 1 
526 1 3 
527 3 1 
528 1 3 
529 3 1 
530 1 3 
531 3 1 
532 1 2 
533 2 1 
534 1 2 
535 2 1 
536 1 2 
537 2 1 
538 1 2 
539 2 2 
540 2 2 
541 2 2 
542 2 2 
543 2 2 
544 2 2 
545 2 2 
546 2 2 
547 2 2 
548 2 2 
549 2 2 
550 2 2 
551 2 3 
552 3 2 
553 2 3 
554 3 2 
555 2 3 
556 3 2 
557 2 3 
558 3 2 
559 2 2 
560 2 2 
561 2 2 
562 2 2 
563 2 2 
564 2 2 
565 2 2 
566 2 2 
567 2 2 
568 2 2 
569 2 3 
570 3 1 
571 1 3 
572 3 2 
573 2 3 
574 3 3 
575 3 3 
576 3 3 
577 3 3 
578 3 3 
579 3 3 
580 3 3 
581 3 3 
582 3 2 
583 2 3 
584 3 2 
585 2 3 
586 3 2 
587 2 3 
588 3 2 
589 2 3 
590 3 2 
591 2 3 
592 3 2 
593 2 3 
594 3 2 
595 2 3 
596 3 1 
597 1 2 
598 2 2 
599 2 2 
600 2 3 
601 3 2 
602 2 3 
603 3 2 
604 2 3 
605 3 2 
606 2 2 
607 2 2 
608 2 3 
609 3 2 
610 2 2 
611 2 2 
612 2 2 
613 2 2 
614 2 2 
615 2 2 
616 2 2 
617 2 2 
618 2 2 
619 2 2 
620 2 2 
621 2 1 
622 1 2 
623 2 1 
624 1 2 
625 2 2 
626 2 2 
627 2 3 
628 3 2 
629 2 3 
630 3 2 
631 2 3 
632 3 2 
633 2 3 
634 3 2 
635 2 3 
636 3 2 
637 2 3 
638 3 2 
639 2 3 
640 3 2 
641 2 3 
642 3 2 
643 2 2 
644 2 2 
645 2 2 
646 2 2 
647 2 2 
648 2 2 
649 2 1 
650 1 2 
651 2 1 
652 1 2 
653 2 1 
654 1 2 
655 2 1 
656 1 2 
657 2 1 
658 1 2 
659 2 1 
660 1 2 
661 2 1 
662 1 2 
663 2 1 
664 1 3 
665 3 2 
666 2 3 
667 3 2 
668 2 3 
669 3 2 
670 2 3 
671 3 2 
672 2 3 
673 2 2 
674 2 3 
675 3 2 
676 2 3 
677 3 2 
678 2 3 
679 3 2 
680 2 3 
681 3 2 
682 2 3 
683 3 2 
684 2 3 
685 3 2 
686 2 3 
687 3 2 
688 2 3 
689 3 2 
690 2 3 
691 3 2 
692 2 3 
693 3 2 
694 2 3 
695 3 2 
696 2 3 
697 3 2 
698 2 3 
699 3 2 
700 2 3 
701 3 2 
702 2 3 
703 3 2 
704 2 3 
705 3 2 
706 2 2 
707 3 2 
708 2 2 
709 2 2 
710 2 2 
711 2 2 
712 2 2 
713 2 2 
714 2 2 
715 2 2 
716 2 2 
717 2 2 
718 2 2 
719 2 2 
720 2 3 
721 2 2 
722 2 2 
723 3 2 
724 2 3 
725 2 2 
726 2 3 
727 3 2 
728 2 3 
729 3 2 
730 2 2 
731 3 1 
732 2 1 
733 2 1 
734 1 2 
735 1 1 
736 1 2 
737 2 1 
738 1 2 
739 2 1 
740 1 3 
741 2 1 
742 1 3 
743 3 2 
744 1 3 
745 3 2 
746 2 2 
747 3 2 
748 2 3 
749 2 2 
750 2 3 
751 3 2 
752 2 3 
753 3 1 
754 2 2 
755 3 1 
756 1 2 
757 2 2 
758 1 2 
759 2 2 
760 2 1 
761 2 2 
762 2 2 
763 1 2 
764 2 2 
765 2 2 
766 2 2 
767 2 2 
768 2 2 
769 2 2 
770 2 2 
771 2 2 
772 2 2 
773 2 2 
774 2 2 
775 2 2 
776 2 2 
777 2 2 
778 2 2 
779 2 2 
780 2 2 
781 2 2 
782 2 2 
783 2 2 
784 2 2 
785 2 2 
786 2 2 
787 2 2 
788 2 2 
789 2 2 
790 2 2 
791 2 2 
792 2 2 
793 2 2 
794 2 2 
795 2 2 
796 2 2 
797 2 2 
798 2 2 
799 2 2 
800 2 2 
801 2 2 
802 2 2 
803 2 2 
804 2 2 
805 2 2 
806 2 2 
807 2 3 
808 2 2 
809 2 2 
810 3 2 
811 2 3 
812 2 2 
813 2 3 
814 3 2 
815 2 3 
816 3 2 
817 2 2 
818 3 1 
819 2 2 
820 2 2 
821 1 2 
822 2 2 
823 2 2 
824 2 2 
825 2 2 
826 2 2 
827 2 2 
828 2 3 
829 2 2 
830 2 3 
831 3 2 
832 2 3 
833 3 2 
834 2 3 
835 3 2 
836 2 3 
837 3 2 
838 2 2 
839 3 2 
840 2 2 
841 2 2 
842 2 1 
843 2 2 
844 2 2 
845 1 2 
846 2 2 
847 2 2 
848 2 3 
849 2 2 
850 2 3 
851 3 2 
852 2 3 
853 3 2 
854 2 3 
855 3 3 
856 2 3 
857 3 3 
858 3 3 
859 3 2 
860 3 3 
861 3 2 
862 2 3 
863 3 2 
864 2 3 
865 3 2 
866 2 3 
867 3 2 
868 2 3 
869 3 2 
870 2 3 
871 3 3 
872 2 3 
873 3 3 
874 3 3 
875 3 3 
876 3 3 
877 3 3 
878 3 3 
879 3 3 
880 3 3 
881 3 3 
882 3 3 
883 3 3 
884 3 3 
885 3 3 
886 3 3 
887 3 3 
888 3 3 
889 3 2 
890 3 3 
891 3 2 
892 2 3 
893 3 2 
894 2 3 
895 3 2 
896 2 3 
897 3 2 
898 2 3 
899 3 2 
900 2 3 
901 3 3 
902 2 3 
903 3 3 
904 3 3 
905 3 3 
906 3 3 
907 3 3 
908 3 3 
909 3 3 
910 3 3 
911 3 2 
912 3 3 
913 3 3 
914 2 3 
915 3 3 
916 3 3 
917 3 3 
918 3 3 
919 3 3 
920 3 3 
921 3 2 
922 3 3 
923 3 2 
924 2 3 
925 3 2 
926 2 3 
927 3 2 
928 2 3 
929 3 2 
930 2 3 
931 3 2 
932 2 3 
933 3 2 
934 2 3 
935 3 2 
936 2 3 
937 3 1 
938 2 3 
939 3 2 
940 1 3 
941 3 2 
942 2 3 
943 3 2 
944 2 3 
945 3 2 
946 2 3 
947 3 2 
948 2 3 
949 3 3 
950 2 3 
951 3 3 
952 3 3 
953 3 3 
954 3 3 
955 3 3 
956 3 3 
957 3 3 
958 3 3 
959 3 3 
960 3 3 
961 3 2 
962 3 3 
963 3 3 
964 2 2 
965 3 3 
966 3 3 
967 2 3 
968 3 3 
969 3 3 
970 3 3 
971 3 3 
972 3 3 
973 3 2 
974 3 3 
975 3 2 
976 2 3 
977 3 2 
978 2 3 
979 3 2 
980 2 2 
981 3 2 
982 2 3 
983 2 2 
984 2 3 
985 3 2 
986 2 3 
987 3 2 
988 2 3 
989 3 2 
990 2 3 
991 3 2 
992 2 2 
993 3 2 
994 2 2 
995 2 2 
996 2 3 
997 2 2 
998 2 3 
999 3 2 
1000 2 3 
1001 3 1 
1002 2 3 
1003 3 1 
1004 1 3 
1005 3 1 
1006 1 3 
1007 3 2 
1008 1 3 
1009 3 3 
1010 2 3 
1011 3 3 
1012 3 3 
1013 3 3 
1014 3 3 
1015 3 3 
1016 3 3 
1017 3 3 
1018 3 2 
1019 3 3 
1020 3 3 
1021 2 3 
1022 3 3 
1023 3 3 
1024 3 3 
1025 3 3 
1026 3 3 
1027 3 2 
1028 3 3 
1029 3 2 
1030 2 3 
1031 3 2 
1032 2 3 
1033 3 1 
1034 2 3 
1035 3 1 
1036 1 3 
1037 3 1 
1038 1 3 
1039 3 1 
1040 1 3 
1041 3 1 
1042 1 3 
1043 3 1 
1044 1 3 
1045 3 1 
1046 1 3 
1047 3 1 
1048 1 2 
1049 3 1 
1050 1 2 
1051 2 2 
1052 1 2 
1053 2 2 
1054 2 2 
1055 2 2 
1056 2 2 
1057 2 2 
1058 2 2 
1059 2 2 
1060 2 2 
1061 2 2 
1062 2 2 
1063 2 2 
1064 2 2 
1065 2 1 
1066 2 2 
1067 2 2 
1068 1 2 
1069 2 3 
1070 2 2 
1071 2 3 
1072 3 2 
1073 2 3 
1074 3 2 
1075 2 3 
1076 3 2 
1077 2 3 
1078 3 2 
1079 2 3 
1080 3 2 
1081 2 3 
1082 3 2 
1083 2 3 
1084 3 2 
1085 2 3 
1086 3 2 
1087 2 3 
1088 3 2 
1089 2 3 
1090 3 3 
1091 2 3 
1092 3 3 
1093 3 3 
1094 3 3 
1095 3 3 
1096 3 3 
1097 3 3 
1098 3 3 
1099 3 3 
1100 3 3 
1101 3 3 
1102 3 3 
1103 3 3 
1104 3 3 
1105 3 3 
1106 3 3 
1107 3 3 
1108 3 3 
1109 3 3 
1110 3 3 
1111 3 3 
1112 3 3 
1113 3 3 
1114 3 3 
1115 3 3 
1116 3 3 
1117 3 3 
